,State name,District,Population,Male,Female,Literate,Male_Literate,Female_Literate,Rural_Households,Urban_Households,Households,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise,Absolute_Dilapidated,Absolute_Latrine_premise,Absolute_Livable,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise,Households_Total,Percent_Diff_Rural,Percent_Diff_Urban
0,JAMMU AND KASHMIR,Kupwara,870354.0,474190.0,396164.0,439654.0,282823.0,156831.0,158438.0,23226.0,181664.0,600759.0,178435.0,89679.0,1481.0,Rural,100,58.1,8.3,48.9,15078.112000000001,88833.696,105546.784,92052.478,13150.354000000001,140746331.26848,13494.306,1927.7580000000003,20632514.23296,181664.0,0.0,
1,JAMMU AND KASHMIR,Kupwara,870354.0,474190.0,396164.0,439654.0,282823.0,156831.0,158438.0,23226.0,181664.0,600759.0,178435.0,89679.0,1481.0,Total,100,57.3,7.9,50.9,14351.456,92466.976,104093.472,90784.974,12516.601999999999,146502827.43488,13308.498,1834.854,21476379.84576,181664.0,-1.3762924138961339,-14.578889297535857
2,JAMMU AND KASHMIR,Kupwara,870354.0,474190.0,396164.0,439654.0,282823.0,156831.0,158438.0,23226.0,181664.0,600759.0,178435.0,89679.0,1481.0,Urban,100,49.5,4.8,70.2,8719.872,127528.12800000001,89923.68,78426.81,7605.024,202053015.44064003,11496.87,1114.848,29619683.009280004,181664.0,329.13867822318525,32.91747739498684
3,JAMMU AND KASHMIR,Badgam,753745.0,971351.2166575938,355704.0,335649.0,207741.0,127908.0,160649.0,27190.0,187839.0,503223.0,160933.0,88978.0,611.0,Rural,100,46.3,3.9,83.3,7325.721,156469.887,86969.457,74380.487,6265.311,251367308.76663,12588.97,1060.41,42544162.275299996,187839.0,297.94154074808023,249.75559557499358
4,JAMMU AND KASHMIR,Badgam,753745.0,971351.2166575938,355704.0,335649.0,207741.0,127908.0,160649.0,27190.0,187839.0,503223.0,160933.0,88978.0,611.0,Total,100,44.7,3.8,84.3,7137.882,158348.277,83964.03300000001,71810.103,6104.661999999999,254384923.51773,12153.93,1033.22,43054896.5163,187839.0,21.575764914219118,78.07322025018011
5,JAMMU AND KASHMIR,Badgam,753745.0,971351.2166575938,355704.0,335649.0,207741.0,127908.0,160649.0,27190.0,187839.0,503223.0,160933.0,88978.0,611.0,Urban,100,33.8,2.6,90.4,4883.814,169806.456,63489.581999999995,54299.361999999994,4176.874,272792373.49944,9190.22,706.94,46170375.38640001,187839.0,-18.065486815933085,55.30043408727438
6,JAMMU AND KASHMIR,Leh(Ladakh),133487.0,78971.0,54516.0,93770.0,62834.0,30936.0,36920.0,17474.0,54394.0,70703.0,41515.0,302863.84975503536,250.0,Rural,100,51.5,2.1,88.1,1142.2740000000001,47921.113999999994,28012.91,19013.8,775.32,17692475.288799997,8999.11,366.954,8373735.460359999,54394.0,-79.64427095394048,-47.79673169420129
7,JAMMU AND KASHMIR,Leh(Ladakh),133487.0,78971.0,54516.0,93770.0,62834.0,30936.0,36920.0,17474.0,54394.0,70703.0,41515.0,302863.84975503536,250.0,Total,100,52.4,1.8,90.4,979.092,49172.17600000001,28502.456000000002,19346.08,664.56,18154367.379200004,9156.376,314.532,8592346.034240002,54394.0,-82.4643896971165,-64.2892176898553
8,JAMMU AND KASHMIR,Leh(Ladakh),133487.0,78971.0,54516.0,93770.0,62834.0,30936.0,36920.0,17474.0,54394.0,70703.0,41515.0,302863.84975503536,250.0,Urban,100,54.6,1.1,95.8,598.3340000000001,52109.452000000005,29699.124,20158.32,406.12,19238809.678400002,9540.804,192.21400000000003,9105605.64248,54394.0,-54.14860719563841,-0.4614070065508402
9,JAMMU AND KASHMIR,Kargil,140802.0,971351.2166575938,63017.0,86236.0,56301.0,29935.0,40370.0,7774.0,48144.0,87532.0,35561.0,17488.0,221.0,Rural,100,73.3,3.5,96.8,1685.04,46603.392,35289.551999999996,29591.21,1412.95,18813789.3504,5698.342,272.09,3622947.69408,48144.0,793.5369632580788,-96.98355974096019
10,JAMMU AND KASHMIR,Kargil,140802.0,971351.2166575938,63017.0,86236.0,56301.0,29935.0,40370.0,7774.0,48144.0,87532.0,35561.0,17488.0,221.0,Total,100,72.6,3.2,96.9,1540.6080000000002,46651.53600000001,34952.544,29308.62,1291.84,18833225.083200004,5643.923999999999,248.76800000000003,3626690.408640001,48144.0,-36.71223427603938,-42.661159463047646
11,JAMMU AND KASHMIR,Kargil,140802.0,971351.2166575938,63017.0,86236.0,56301.0,29935.0,40370.0,7774.0,48144.0,87532.0,35561.0,17488.0,221.0,Urban,100,68.8,1.2,97.5,577.728,46940.4,33123.072,27774.56,484.44,18949839.48,5348.512,93.288,3649146.6960000005,48144.0,-72.63421908893709,-64.18006727180574
12,JAMMU AND KASHMIR,Punch,476835.0,251899.0,224936.0,261724.0,163333.0,98391.0,132139.0,15269.0,147408.0,304979.0,109818.0,61334.0,704.0,Rural,100,59.5,2.4,13.7,3537.792,20194.895999999997,87707.76,78622.705,3171.336,26685333.625439998,9085.055,366.45599999999996,3083558.6702399994,147408.0,74.75005289885739,189.62443095599392
13,JAMMU AND KASHMIR,Punch,476835.0,251899.0,224936.0,261724.0,163333.0,98391.0,132139.0,15269.0,147408.0,304979.0,109818.0,61334.0,704.0,Total,100,56.9,2.3,18.7,3390.3839999999996,27565.296000000002,83875.152,75187.091,3039.1969999999997,36424506.48144,8688.061,351.18699999999995,4208945.04624,147408.0,-36.185389270139616,-78.3927206860442
14,JAMMU AND KASHMIR,Punch,476835.0,251899.0,224936.0,261724.0,163333.0,98391.0,132139.0,15269.0,147408.0,304979.0,109818.0,61334.0,704.0,Urban,100,27.3,0.8,75.3,1179.2640000000001,110998.224,40242.384,36073.947,1057.112,146671943.21136,4168.437,122.152,16948318.82256,147408.0,37.71364849091212,-39.355786797998256
